Day,Date,Total Square,Total Cash CAD,Total CAD from USD,Total Cash (USD),Total CAD,Total Visitors,Long Weekend,Sponsorship Weekend,Cruise Ship Day,Rainy Day,Classroom Visits,Cruise,Local,Northwest BC,Other,D/n pay - Family Pass,D/n pay- No $,Unwilling to pay/walked away,Babies (0-3yrs),Child (4-12 yrs),Youth (13-18 yrs),Adult/Seniors,Sponsors,Comments
-Saturday-,Aug-12-23,,$47.05,$41.40,$30.00,$88.45,33,,,Y,,,12,10,4,4,3,0,47,,,,,0,Ruby Princess in port from 1pm to 6pm
-Sunday-,Aug-13-23,,$87.45,$0.00,$0.00,$87.45,21,,,,,,0,4,5,12,0,0,15,,,,,0,
-Monday-,Aug-14-23,,$162.30,$208.38,$151.00,$370.68,54,,,Y,,,37,10,0,5,2,0,32,,,,,0,Carnival Miracle in port - all day
-Tuesday-,Aug-15-23,,$73.15,$0.00,$0.00,$73.15,38,,,Y,,,7,6,0,21,4,0,7,,,,,0,Star breeze in port until 2pm
-Friday-,Aug-18-23,,$64.50,$0.00,$0.00,$64.50,31,,,,,,0,9,1,21,0,0,6,,,,,0,Did a deposit: USD$241 and CAD$655
-Saturday-,Aug-19-23,,$17.90,$0.00,$0.00,$17.90,142,,Y,,,,0,40,44,58,0,0,0,,,,,0,Pembina Free Weekend - Day 1
-Sunday-,Aug-20-23,,$120.20,$0.00,$0.00,$120.20,170,,Y,,,,0,130,20,20,0,0,0,,,,,0,Pembina Free Weekend - Day 2 + Cow Bay Farmers' Market
-Tuesday-,Aug-22-23,,$37.85,$42.78,$31.00,$80.63,36,,,Y,,,16,5,0,15,0,0,33,,,,,0,Ruby Princess & Seabourn Odyssey in port
-Thursday-,Aug-24-23,,$33.05,$0.00,$0.00,$33.05,17,,,,,,0,3,4,6,4,0,0,,,,,0,
-Friday-,Aug-25-23,,$49.30,$0.00,$0.00,$49.30,20,,,,,,0,4,9,3,4,0,6,,,,,0,
-Saturday-,Aug-26-23,,$33.55,$0.00,$0.00,$33.55,33,,,,,,0,9,16,8,0,0,2,,,,,0,
-Sunday-,Aug-27-23,,$6.95,$0.00,$0.00,$6.95,9,,,,,,0,2,6,1,0,0,7,,,,,0,
-Monday-,Aug-28-23,,$29.20,$84.18,$61.00,$113.38,22,,,Y,,,12,2,5,3,0,0,26,,,,,0,Carnival Miracle in port
-Thursday-,Aug-31-23,,$62.40,$8.28,$6.00,$70.68,23,,,,,,0,0,0,23,0,0,4,,,,,0,
-Friday-,Sep-1-23,,$23.90,$4.14,$3.00,$28.04,24,,,Y,,,4,3,1,7,9,0,26,,,,,0,Ruby Princess in port
-Saturday-,Sep-2-23,,$34.55,$0.00,$0.00,$34.55,4,,,,,,0,0,0,4,0,0,6,,,,,0,
-Sunday-,Sep-3-23,,$66.25,$0.00,$0.00,$66.25,24,,,,,,0,2,10,12,0,0,0,,,,,0,
-Saturday-,Sep-9-23,,$40.65,$0.00,$0.00,$40.65,11,,,,,,0,11,0,0,0,0,4,,,,,0,
-Sunday-,Sep-10-23,,$0.00,$0.00,$0.00,$0.00,5,,,,,,0,1,0,0,4,0,8,,,,,0,Did a deposit: USD$140 and CAD$550
-Monday-,Sep-11-23,,$0.75,$8.28,$6.00,$9.03,3,,,Y,,,3,0,0,0,0,0,11,,,,,0,Ruby Princess in port
-Tuesday-,Sep-12-23,,$0.00,$0.00,$0.00,$0.00,0,,,Y,,,0,0,0,0,0,0,7,,,,,0,National Geographic Venture & National Geographic Quest in Port
-Thursday-,Sep-14-23,,$10.80,$24.84,$18.00,$35.64,9,,,Y,,,3,0,0,6,0,0,4,,,,,0,Oceania Regatta in port
-Saturday-,Sep-16-23,,$5.60,$0.00,$0.00,$5.60,4,,,,Y,,0,0,1,0,3,0,1,,,,,0,Rainy Day in Rupert
-Sunday-,Sep-17-23,,$0.00,$0.00,$0.00,$0.00,3,,,,Y,,0,0,0,3,0,0,2,,,,,0,Rainy Day in Rupert
-Tuesday-,Sep-19-23,,$14.55,$0.00,$0.00,$14.55,22,,,Y,Y,,0,18,2,2,0,0,4,,,,,0,National Geographic Venture in port / Rainy day in Rupert
-Wednesday-,Sep-20-23,,-$1.35,$71.76,$52.00,$70.41,16,,,Y,,,11,1,0,4,0,0,24,,,,,0,Carnival Miracle in port / CAD cash is a negative b/c we use the same coin pot for both USD&CAD transactions and the coin only gets counted with the CAD at the end of the day.
-Thursday-,Sep-21-23,,$9.00,$41.40,$30.00,$50.40,14,,,Y,,,8,4,0,2,0,0,26,,,,,0,Ruby Princess in port
-Saturday-,Sep-23-23,,$60.35,$0.00,$0.00,$60.35,6,,,,,,0,2,0,1,3,0,1,,,,,0,
-Sunday-,Sep-24-23,,$9.00,$0.00,$0.00,$9.00,17,,,,,,0,8,0,9,0,0,7,,,,,0,
-Tuesday-,Sep-26-23,,$0.00,$0.00,$0.00,$0.00,3,,,Y,,,2,1,0,0,0,0,7,,,,,0,Seabourn Venture in port
-Wednesday-,Sep-27-23,,$11.20,$0.00,$0.00,$11.20,5,,,Y,,,3,0,2,0,0,0,6,,,,,0,Seabourn Odyssey in port
-Friday-,Sep-29-23,,$6.10,$6.90,$5.00,$13.00,13,,,Y,,,7,0,0,2,4,0,16,,,,,0,Holland America's ms Noordam & L'Austral Ponant in port
-Saturday-,Sep-30-23,,$0.00,$0.00,$0.00,$0.00,73,Y,Y,,,,0,41,28,0,4,0,0,,,,,0,Truth & Reconciliation Day - free admission
-Sunday-,Oct-1-23,,$0.00,$0.00,$0.00,$0.00,10,,,,,,0,7,0,0,3,0,0,,,,,0,Last Day Open
-Saturday-,May-18-24,$425.04,$141.45,$0.00,$0.00,$566.49,43,,,,,,0,22,7,14,0,0,6,0,11,0,31,0,OPENING DAY
-Sunday-,May-19-24,$42.56,$116.10,$0.00,$0.00,$158.66,22,,,Y,,,1,12,8,1,0,0,4,0,11,0,12,0,Silverseas: Silver Shadow in Port today
-Tuesday-,May-21-24,$26.32,$21.25,$0.00,$0.00,$47.57,9,,,Y,,,5,4,0,0,0,0,0,0,6,0,3,0,Carnival Miracle and Seabourn Odyssey in Port today
-Thursday-,May-23-24,$12.32,$5.00,$33.12,$24.00,$50.44,6,,,,Y,,0,6,0,0,0,0,0,3,2,0,1,0,"Cold, Rainy Day - closed early @ 4pm"
-Friday-,May-24-24,$76.16,$97.75,$0.00,$0.00,$173.91,31,,,,,,0,26,3,2,0,0,0,1,20,0,10,0,
-Saturday-,May-25-24,$75.04,$41.25,$0.00,$0.00,$116.29,18,,,,,,0,15,0,3,0,0,0,2,4,1,10,0,
-Sunday-,May-26-24,$231.79,$72.40,$0.00,$0.00,$304.19,28,,,,,,0,26,0,1,1,0,4,3,7,0,17,0,Farmer's Market
